user_id;fio;email;address;effective_from_dttm;effective_to_dttm;active_flg;sysdate_dt;sysdate_dttm
1;Беляев Аркадий Терентьевич;ermakovavalerija@example.com;д. Ревда (Сверд.), бул. Карьерный, д. 8/2 к. 183, 458676;2024-02-11 00:17:07;2024-08-09 00:17:07;;2024-02-11;2024-02-11 00:17:07
2;Журавлева Елизавета Вадимовна;nekrasovaalla@example.org;г. Каневская, алл. Тамбовская, д. 55 к. 229, 113659;2025-04-08 15:22:19;2025-10-05 15:22:19;0;2025-04-08;2025-04-08 15:22:19
2;Григорьева Анна Борисовна;arhipovgalaktion@example.net;с. Верещагино (Перм.), ул. Чайкиной, д. 5/2 к. 676, 290226;2024-05-11 21:43:58;9999-12-31 23:59:59;1;2024-05-11;2024-05-11 21:43:58
3;Логинов Вадим Ефремович;vorobevefrem@example.net;п. Урай, ш. Челюскинцев, д. 4/2 к. 8, 874262;2024-04-07 21:05:01;2024-10-04 21:05:01;0;2024-04-07;2024-04-07 21:05:01
4;Орлова Лидия Тимофеевна;ermakovviktor@example.com;ст. Шадринск, пер. Саратовский, д. 892, 233429;2023-04-29 00:31:14;2023-10-26 00:31:14;0;2023-04-29;2023-04-29 00:31:14
4;Данила Адрианович Тетерин;nazarovaraisa@example.com;п. Валаам, пр. Кирпичный, д. 3/6 к. 72, 317527;2024-04-08 17:21:03;9999-12-31 23:59:59;1;2024-04-08;2024-04-08 17:21:03
5;Нестерова Феврония Егоровна;yborisova@example.net;ст. Малгобек, наб. Коминтерна, д. 47 стр. 1, 895808;2023-06-25 18:51:12;2023-12-22 18:51:12;0;2023-06-25;2023-06-25 18:51:12
6;Ия Кузьминична Зайцева;amolchanova@example.org;клх Вилюйск, бул. Олега Кошевого, д. 36, 875847;2024-06-17 22:33:08;2024-12-14 22:33:08;0;2024-06-17;2024-06-17 22:33:08
6;Лукия Федоровна Баранова;andreevfirs@example.org;д. Теберда, пер. Автомобилистов, д. 970 к. 58, 702579;2024-10-27 13:23:37;9999-12-31 23:59:59;1;2024-10-27;2024-10-27 13:23:37
7;Тимофеева Прасковья Ниловна;mefodifadeev@example.com;к. Ростов, пр. Луначарского, д. 39, 853398;2025-01-12 19:50:59;2025-07-11 19:50:59;0;2025-01-12;2025-01-12 19:50:59
8;Пантелеймон Богданович Кудрявцев;vasili79@example.org;г. Буйнакск, пр. Деповский, д. 82 к. 7/6, 676585;2023-12-12 12:44:30;2024-06-09 12:44:30;0;2023-12-12;2023-12-12 12:44:30
8;Дьячкова Людмила Оскаровна;uilin@example.org;д. Борзя, пер. Транспортный, д. 4/3 к. 52, 203168;2023-12-10 05:12:53;9999-12-31 23:59:59;1;2023-12-10;2023-12-10 05:12:53
9;Пестова Кира Эльдаровна;mstislav_1991@example.net;п. Усть-Камчатск, ул. Тюленина, д. 947, 953935;2023-07-09 01:27:44;2024-01-05 01:27:44;0;2023-07-09;2023-07-09 01:27:44
10;Исаков Симон Изотович;ereme_2003@example.net;клх Макаров, бул. Беляева, д. 99 стр. 9/8, 679160;2023-11-11 07:14:45;2024-05-09 07:14:45;0;2023-11-11;2023-11-11 07:14:45
10;Аркадий Брониславович Кошелев;porfiri1983@example.net;д. Орел, пр. Степана Разина, д. 6 к. 544, 164829;2023-07-23 18:54:15;9999-12-31 23:59:59;1;2023-07-23;2023-07-23 18:54:15
11;Федот Тихонович Владимиров;roman_1997@example.org;п. Эльбрус, ш. Гастелло, д. 205 к. 69, 062308;2024-01-24 00:20:55;2024-07-22 00:20:55;0;2024-01-24;2024-01-24 00:20:55
12;Уварова Иванна Геннадьевна;svjatopolkribakov@example.net;г. Казань, пер. Фабричный, д. 6 стр. 96, 527653;2024-06-02 11:52:54;2024-11-29 11:52:54;0;2024-06-02;2024-06-02 11:52:54
12;г-жа Ларионова Лидия Ивановна;vsevolod41@example.net;г. Горячий Ключ, пр. Грибоедова, д. 1, 353008;2024-01-07 21:03:25;9999-12-31 23:59:59;1;2024-01-07;2024-01-07 21:03:25
13;Антонов Силантий Терентьевич;zinovevagafon@example.net;клх Киров (Вятка), ул. Степная, д. 5, 284844;2023-08-29 02:47:25;2024-02-25 02:47:25;0;2023-08-29;2023-08-29 02:47:25
14;Алевтина Андреевна Орлова;ogorshkov@example.net;д. Джубга, наб. Линейная, д. 5/8 стр. 1, 517775;2024-04-07 17:11:38;2024-10-04 17:11:38;0;2024-04-07;2024-04-07 17:11:38
14;Влас Яковлевич Калашников;kliment1980@example.com;г. Корсаков, бул. Тукая, д. 645 стр. 7, 808385;2025-03-30 07:10:14;9999-12-31 23:59:59;1;2025-03-30;2025-03-30 07:10:14
15;Горбунова Нонна Афанасьевна;teterinafekla@example.com;к. Внуково (метеост.), ш. Светлое, д. 18, 442462;2023-04-28 15:53:01;2023-10-25 15:53:01;0;2023-04-28;2023-04-28 15:53:01
16;Мухин Данила Афанасьевич;lidija_2001@example.com;д. Невельск, пер. Сосновый, д. 55 к. 76, 409459;2023-11-09 17:52:08;2024-05-07 17:52:08;0;2023-11-09;2023-11-09 17:52:08
16;Котова Вероника Матвеевна;irina_2018@example.org;д. Рославль, пр. Казачий, д. 4, 593823;2023-04-16 04:58:35;9999-12-31 23:59:59;1;2023-04-16;2023-04-16 04:58:35
17;Афанасьев Софон Виленович;nikodim_77@example.org;клх Калуга, ш. Парковое, д. 37 стр. 2/1, 644162;2023-12-30 01:46:13;2024-06-27 01:46:13;0;2023-12-30;2023-12-30 01:46:13
18;Никонов Амвросий Изотович;sinklitikija35@example.net;к. Балашов, наб. Вахитова, д. 962 стр. 74, 398351;2024-09-21 04:38:55;2025-03-20 04:38:55;0;2024-09-21;2024-09-21 04:38:55
18;Лариса Егоровна Куликова;foma_84@example.net;г. Ейск, бул. Терешковой, д. 5, 110380;2023-12-09 18:46:48;9999-12-31 23:59:59;1;2023-12-09;2023-12-09 18:46:48
19;Галина Степановна Кошелева;ekuzmina@example.org;с. Ярославль, наб. Ветеранов, д. 4/5 стр. 6, 284086;2024-10-10 04:02:56;2025-04-08 04:02:56;0;2024-10-10;2024-10-10 04:02:56
20;Иван Елизарович Ефремов;ipat_2006@example.org;д. Верхоянск, алл. Владимирская, д. 4/3, 282231;2024-11-29 20:23:33;2025-05-28 20:23:33;0;2024-11-29;2024-11-29 20:23:33
20;Шарапов Евсей Гордеевич;efremvolkov@example.org;п. Петропавловск-Камчатский, бул. Троицкий, д. 973 стр. 34, 768270;2024-11-03 01:13:34;9999-12-31 23:59:59;1;2024-11-03;2024-11-03 01:13:34
21;Вера Львовна Галкина;dorofe1990@example.net;г. Мирный, пр. М.Горького, д. 9, 650792;2024-01-03 15:23:31;2024-07-01 15:23:31;0;2024-01-03;2024-01-03 15:23:31
22;Молчанов Панфил Бориславович;kornil91@example.net;д. Шенкурск, бул. Гоголя, д. 1 к. 177, 276216;2025-03-14 20:00:22;2025-09-10 20:00:22;0;2025-03-14;2025-03-14 20:00:22
22;Дементьев Андрон Федосьевич;ilinaeleonora@example.net;г. Волгоград, ш. Ударное, д. 660 стр. 57, 566882;2023-07-25 00:19:48;9999-12-31 23:59:59;1;2023-07-25;2023-07-25 00:19:48
23;Казакова Наина Харитоновна;vadimbespalov@example.org;ст. Гаврилов-Ям, алл. Большевистская, д. 550 к. 7/3, 667681;2023-06-01 23:52:58;2023-11-28 23:52:58;0;2023-06-01;2023-06-01 23:52:58
24;Сидоров Гордей Архипович;prohor1974@example.com;клх Коломна, ш. Гастелло, д. 5/7, 541624;2025-02-23 22:26:06;2025-08-22 22:26:06;0;2025-02-23;2025-02-23 22:26:06
24;Элеонора Егоровна Самойлова;arhipmuravev@example.org;клх Серов, пер. 60 лет СССР, д. 321 к. 9, 400790;2023-12-14 05:18:59;9999-12-31 23:59:59;1;2023-12-14;2023-12-14 05:18:59
