user_id;fio;email;address;sysdate_dt;sysdate_dttm
2;Силина Варвара Борисовна;shilovstanislav@example.net;п. Долинск, ш. Ореховое, д. 4 стр. 7/3, 686331;2025-04-09;2025-04-09 21:58:11.352313
4;Лидия Аскольдовна Шарапова;efim_87@example.org;с. Омск, ш. Ольховое, д. 2 стр. 494, 944567;2025-04-09;2025-04-09 21:58:11.353305
6;Жанна Архиповна Яковлева;trofim82@example.org;к. Охотск, ш. Пархоменко, д. 817, 212675;2025-04-09;2025-04-09 21:58:11.354303
8;Журавлева Фёкла Ивановна;gurevdobromisl@example.net;г. Добрянка, наб. Журавлева, д. 9/5 стр. 915, 431241;2025-04-09;2025-04-09 21:58:11.354303
10;Марков Венедикт Ильич;nikolabelov@example.net;п. Катав-Ивановск, наб. Мелиораторов, д. 862 к. 9/3, 500029;2025-04-09;2025-04-09 21:58:11.355303
12;Сидор Афанасьевич Семенов;sigizmund_1985@example.net;к. Сортавала, ш. Союзное, д. 7 к. 446, 485145;2025-04-09;2025-04-09 21:58:11.356304
14;Наумов Фока Фокич;svladimirova@example.org;д. Сладково, алл. Медицинская, д. 8, 051721;2025-04-09;2025-04-09 21:58:11.356304
16;Кириллов Герасим Абрамович;kasjan_1970@example.com;ст. Волгодонск, бул. Циолковского, д. 42, 230940;2025-04-09;2025-04-09 21:58:11.357303
18;Романов Софон Евсеевич;viktorija_2000@example.org;ст. Томск, наб. Котовского, д. 1/7 стр. 28, 658545;2025-04-09;2025-04-09 21:58:11.358303
20;Анисимова Виктория Натановна;zrozhkov@example.net;ст. Вилюйск, ул. Громова, д. 208 к. 8/9, 219520;2025-04-09;2025-04-09 21:58:11.359309
22;Панкрат Валентинович Кононов;artemi_21@example.org;ст. Верхнее Пенжино, ул. Химиков, д. 9, 633985;2025-04-09;2025-04-09 21:58:11.360316
24;Власова Татьяна Макаровна;harlampi_1983@example.org;г. Углич, алл. Декабристов, д. 7/8, 817720;2025-04-09;2025-04-09 21:58:11.360316
26;Андрей Венедиктович Степанов;pankrati_1974@example.com;с. Печенга, ш. Макаренко, д. 484 стр. 2, 698590;2025-04-09;2025-04-09 21:58:11.361310
28;Костина Евгения Болеславовна;vlas2002@example.org;клх Данков, ш. Коминтерна, д. 591 к. 35, 137803;2025-04-09;2025-04-09 21:58:11.361310
30;Анастасия Кирилловна Ефремова;ignati94@example.net;д. Невинномысск, пер. Котовского, д. 383 стр. 6/9, 167746;2025-04-09;2025-04-09 21:58:11.362301
32;Михеев Иосиф Еремеевич;mechislav_95@example.com;клх Ясный (Оренб.), бул. Гражданский, д. 4 к. 457, 977113;2025-04-09;2025-04-09 21:58:11.363304
34;Марина Александровна Комарова;budimir22@example.net;с. Сасово, наб. Макарова, д. 4, 338722;2025-04-09;2025-04-09 21:58:11.363304
36;Гришин Лазарь Якубович;petrovhariton@example.org;п. Славянск-на-Кубани, пр. Деповский, д. 4/7 стр. 3/3, 973241;2025-04-09;2025-04-09 21:58:11.364304
38;Воронова Эмилия Эльдаровна;kim_23@example.net;клх Сунтар, ш. Транспортное, д. 1/7, 012963;2025-04-09;2025-04-09 21:58:11.364304
40;Евфросиния Владимировна Казакова;avdeevkasjan@example.org;ст. Псков, алл. Лазо, д. 8 стр. 398, 587951;2025-04-09;2025-04-09 21:58:11.365303
42;Яковлев Адам Васильевич;lgavrilov@example.net;г. Шуя, пр. Клары Цеткин, д. 1/2, 490722;2025-04-09;2025-04-09 21:58:11.365303
44;Регина Ильинична Морозова;emmanuilkabanov@example.com;с. Джубга, ул. Медицинская, д. 9, 547862;2025-04-09;2025-04-09 21:58:11.366305
